Gene,MCF10A_1percent,MCF10A_20percent,MCF12A_1percent,MCF12A_20percent
NEDD1,271.999999,106.99995,108.9999911,333.99956
NEDD4,1153.302806,221.443887,104.11821,558.31108
NEDD4L,1288.36031,373.779383,200.99994,631.40197
NEDD8,1041.89748,416.82067,580.1905,1120.65048
NEDD9,75.471143,9.343857,4,12
NEGR1,38.01126,5.493331,11.0134,12.110458
NEIL1,137.671275,37.8451,13.002931,49.657347
NEIL2,132.9996306,60.00000189,17,188.9999326
NEIL3,86.00002,33,18,105.00353
NEK1,184.0310301,47,33.99996,216.00574
NEK10,2,0,2,4
NEK11,49.999967,9,23.000042,73.00013
NEK2,620.2907,171.30907,638.5164543,362.2172
NEK3,56.00003523,20.99995,39.000025,120.999977
NEK4,95.1597,49.76965,21.084399,197.6532
NEK5,10.29296,4.45626,2.17368,9
NEK6,615.9994803,138.99998,329.0003309,746.000987
NEK7,424.99956,126.99994,269.999898,560.99959
NEK8,53.04417311,11.33785,5.127532,96.58075
NEK9,897.9953,388.00001,393.0004147,1726.79356
NELFA,436.99962,146.9997,149.99971,511.3595967
NELFB,781,298.0002,553.9998,1140
NELFCD,747.09683,348.03621,442.00012,1213.44153
NELFE,547.9999932,195.99996,185.99993,914.00027
NELL2,1,0,0,2
NEMF,457.93437,161.51129,108.727558,915.72338
NEMP1,427.0002,125.99993,295.9995,486.9999
NEMP2,250.99973,61.00002,59.94057,230.99986
NENF,989.00066,337.00035,398.99968,691.99966
NEO1,431.9999859,152.000084,70.999969,282.99994
NEPRO,633.9325986,170.999991,347,1384.855685
NES,2,0,0,2
NET1,1069.8063,291.9995,1002.99912,1934.99468
NETO2,752.4563,336.9999,201.0724,1056.0009
NEU1,427.02125,95.20225,305.99957,522.82607
NEU3,155.09419,92.45136,43.999949,298.16436
NEURL1,1,1,1,5
NEURL1B,433.00019,84.9321,595.00018,307.00026
NEURL2,17.68033,5.87354,6,29.05447
NEURL3,1,0,0,1
NEURL4,167.000036,115.00002,78.00007381,532.0004502
NEUROD1,0,0,1,2
NEUROD2,242.739,59.3281,82.254,156.94
NEXN,35.99995618,14.854041,4.999998,10.342574
NEXN-AS1,7,1.14596,1.35605,2.58439
NF1,1732.71452,331.0044195,508.008654,1810.1933
NF2,680.7793416,257.498364,119.8562253,854.40742
NFAM1,11.8404,1,1,11
NFASC,51.22168,13,51.01237556,152.99989
NFAT5,950.1535212,109.9371501,483.21638,783.3102415
NFATC1,46.00001,20.99995,27.00002,92.99995032
NFATC2,1,0,2.000002396,0.99999987
NFATC2IP,360.610468,139.23327,85.99993,520.29366
NFATC3,264.63982,113.6763221,174.9194842,737.4584392
NFATC4,21.00153,5.000006,42,102.99999
NFE2,101.00001,8,17.0000368,59
NFE2L1,3695.000504,891.9997136,983.0001483,6541.99527
NFE2L2,1084.64675,405.5575498,833.02158,3037.03359
NFE2L3,53.949767,12.99999,13,125.0004
NFE4,8,1,0,6
NFIA,528.99951,115,143.000098,742.28334
NFIB,908.99988,310.00016,243.00007,1402.00039
NFIC,2433.13575,625.0001,747.0001202,2553.51716
NFIL3,750,143,1383,744
NFIX,988.00029,372.999731,942.00081,1968.49505
NFKB1,622.0005838,324.99972,72.0000001,859.00114
NFKB2,1016.00026,252.99974,522.05666,1378.06915
NFKBIA,2576.9975,668.00032,2137.99578,1857.00001
NFKBIB,87.7715,52.999975,124.9528,301.9999
NFKBID,44.77374,26.99996,7,55.99996
NFKBIE,91.00003,35.000037,24,114.999869
NFKBIL1,498.99969,72.99999,151.0001,334.0003
NFKBIZ,218.00035,77.00004,169.99969,432.89007
